condition,n_generated,n_requested_labels,all_requested_hit_rate,any_requested_hit_rate,exact_match_rate,off_target_rate,mean_requested_prob,mean_offtarget_prob,macro_precision_vs_request,macro_recall_vs_request,macro_f1_vs_request
Antibacterial,300,1,0.87,0.87,0.0,0.9633333333333334,0.7883914113044739,0.3159908354282379,0.2762222222222222,0.87,0.41392063492063486
Antibacterial + Gram+,300,2,0.9866666666666667,1.0,0.26666666666666666,0.7266666666666667,0.8977746367454529,0.17730945348739624,0.7195555555555556,0.9933333333333333,0.8198412698412697
Antibacterial + Gram-,300,2,0.9833333333333333,0.9933333333333333,0.38,0.61,0.9561814665794373,0.1295347660779953,0.755,0.9883333333333333,0.8398253968253968
Anticancer,300,1,0.8366666666666667,0.8366666666666667,0.42,0.5566666666666666,0.7813018560409546,0.22944436967372894,0.5764444444444444,0.8366666666666667,0.6430634920634921
Antifungal,300,1,0.76,0.76,0.43666666666666665,0.55,0.7474811673164368,0.1747140884399414,0.5345000000000001,0.76,0.5846666666666667
Antifungal + Anticancer,300,2,0.14333333333333334,0.78,0.023333333333333334,0.7266666666666667,0.43213143944740295,0.3058459162712097,0.4056111111111111,0.46166666666666667,0.3854761904761905
Gram+,300,1,0.9833333333333333,0.9833333333333333,0.0033333333333333335,0.9966666666666667,0.8275576233863831,0.29056382179260254,0.3650555555555556,0.9833333333333333,0.5248888888888888
Gram-,300,1,0.9733333333333334,0.9733333333333334,0.0,0.9933333333333333,0.883714497089386,0.2810830771923065,0.34838888888888886,0.9733333333333334,0.5055555555555556
Unconditional,300,0,,,0.08333333333333333,0.9166666666666666,,0.34091657400131226,,,
